2016-05-04-00   2016-05-05-00   2016-05-04-08
2016-05-11-18   2016-05-13-00   2016-05-12-02
2016-06-03-18   2016-06-04-19   2016-06-04-00
2016-06-08-00   2016-06-09-06   2016-06-08-11
2016-06-11-00   2016-06-12-00   2016-06-11-07
2016-06-15-18   2016-06-16-18   2016-06-16-03
2016-07-28-00   2016-07-29-00   2016-07-28-09
2016-10-29-00   2016-10-30-12   2016-10-29-08
2017-06-21-12   2017-06-23-00   2017-06-21-20
2017-08-17-00   2017-08-18-00   2017-08-17-08
2017-09-29-06   2017-09-30-00   2017-09-29-14
2017-10-01-06   2017-10-02-12   2017-10-01-16
2017-10-10-06   2017-10-11-00   2017-10-10-12 
